Appl Id,Project,ClinicalTrial.gov NCT (Source) Lists
9524666,DA044279-01A1,NCT04752189 (HSSTUDY)
9530717,DA044745-01A1,"NCT03799302 (HSSTUDY, CT)"
9537037,AT009932-01,"NCT04082637 (HSSTUDY, CT)"
9613911,HD096796-01,NCT03831113 (CT)
9613939,HD096798-01,NCT03718104 (CT)
9614028,HD096800-01,"NCT03923374 (HSSTUDY, CT)"
9621132,DA046316-01A1,NCT04683926 (CT)
9621475,NR017575-01A1,"NCT04468074 (HSSTUDY, CT)"
9625715,AT010106-01,NCT04433975 (HSSTUDY)
9627632,AT010125-01,NCT03798431 (CT)
9661530,DA045695-01A1,"NCT03698669 (HSSTUDY, CT)"
9670620,DA047682-01,NCT04406415 (CT)
9674144,DA047714-01,"NCT03950492 (HSSTUDY, CT)"
9676620,MH114087-02S2,NA (HSSTUDY)
9677487,DA047720-01,"NCT03810495 (HSSTUDY, CT), NCT04716881 (CT)"
9680488,DA047779-01,NCT03845699 (HSSTUDY)
9683950,DA047793-01,"NCT03842137 (HSSTUDY, CT)"
9693455,DA042859-02S1,"NCT04776928 (HSSTUDY, CT)"
9697952,DA047925-01,NCT04828694 (CT)
9707184,MH113136-02S2,NCT03543865 (HSSTUDY)
9712327,DA047982-01,NCT04219540 (HSSTUDY)
9728195,DA040314-04S3,"NCT03407638 (HSSTUDY, CT), NCT04535583 (CT)"
9729182,DA038999-05S1,"NCT02537873 (CT), NCT03143543 (CT), NCT03143855 (CT), NCT03495869 (CT)"
9730925,DA040314-04S4,"NCT03407638 (HSSTUDY, CT), NCT04535583 (CT)"
9736358,DA048375-01,NCT04104919 (CT)
9736906,DA048388-01,NCT03787628 (HSSTUDY)
9739674,DA047094-01A1,"NCT03980184 (HSSTUDY, CT)"
9740762,DA036221-05S2,NCT02672150 (CT)
9743427,DA020024-14S2,"NCT01675661 (HSSTUDY), NCT01982643 (HSSTUDY), NCT03078075 (HSSTUDY, CT), NCT04059016 (CT)"
9743491,DA040309-04S3,"NCT02915341 (HSSTUDY), NCT04155502 (HSSTUDY, CT), NCT04535583 (CT)"
9743910,AT009293-03S1,NCT02868034 (CT)
9743912,AT008559-02S1,"NCT03687762 (HSSTUDY, CT), NCT03916276 (CT)"
9745990,DA046635-01A1,NCT03959111 (HSSTUDY)
9746820,GM104942-03S1,NCT02195115 (CT)
9750304,DA048508-01,NCT04495673 (CT)
9751487,DA043122-03S1,NCT03369249 (CT)
9752059,DA036221-05S3,NCT02672150 (CT)
9752121,DA044826-02S1,NCT04268173 (HSSTUDY)
9752205,EB020404-05S1,NCT03184389 (CT)
9754499,HD095254-01S1,"NCT01353313 (HSSTUDY), NCT01702805 (HSSTUDY), NCT01793129 (HSSTUDY), NCT02951130 (HSSTUDY), NCT03169881 (HSSTUDY), NCT03340727 (HSSTUDY), NCT03456336 (HSSTUDY)"
9755186,NR016681-02S1,"NCT03432247 (CT), NCT03782506 (CT)"
9765878,DA013727-19S1,"NCT01675661 (CT), NCT03078075 (HSSTUDY), NCT03918850 (HSSTUDY), NCT04907357 (CT)"
9767352,DE025633-03S1,"NCT03724032 (HSSTUDY, CT)"
9771125,HL117664-05S2,NCT02212691 (CT)
9772615,DA040316-04S3,"NCT03559179 (CT), NCT04198428 (CT), NCT04345718 (CT), NCT04867382 (CT), NCT04921787 (CT)"
9775669,DE027441-02S1,NCT03584789 (CT)
9778453,DA043288-02,NCT04027075 (HSSTUDY)
9778797,DA047682-02,NCT04406415 (CT)
9778810,DA047720-02,"NCT03810495 (HSSTUDY, RPPR, CT), NCT04716881 (CT)"
9787703,DA047682-02S1,NCT04406415 (CT)
9788385,DA047714-02,"NCT03950492 (HSSTUDY, RPPR, CT)"
9788396,DA047793-02,"NCT03842137 (HSSTUDY, RPPR, CT)"
9790420,DA048734-01,"NCT03789214 (HSSTUDY, CT)"
9794170,DA048743-01,NCT04901078 (CT)
9816476,DA037621-05S1,"NCT01992146 (HSSTUDY), NCT02684669 (HSSTUDY)"
9820284,DA040316-04S4,"NCT03559179 (CT), NCT04198428 (CT), NCT04345718 (CT), NCT04867382 (CT), NCT04921787 (CT)"
9821308,DA045745-02S1,"NCT03545321 (HSSTUDY, CT)"
9821520,DA047793-01S1,"NCT03842137 (HSSTUDY, CT)"
9828948,NS113269-01,"NCT04241562 (HSSTUDY, CT)"
9829976,HD036801-22,"NCT00014989 (CT), NCT00069576 (CT), NCT00098709 (CT), NCT00135902 (CT), NCT00388297 (CT), NCT00439374 (CT), NCT01222247 (RPPR, CT), NCT01376778 (RPPR, CT), NCT01959321 (CT), NCT01990612 (CT), NCT02518594 (RPPR, CT), NCT02901626 (RPPR, CT), NCT03364491 (RPPR, CT), NCT03487185 (RPPR, CT), NCT03944512 (CT)"
9833506,DA048375-02,"NCT04104919 (RPPR, CT)"
9833817,DA049394-01,NCT04111939 (CT)
9836991,DA049406-01,"NCT04111939 (HSSTUDY, CT)"
9837108,DA049412-01,"NCT04111939 (HSSTUDY, CT)"
9837181,DA049415-01,"NCT04111939 (HSSTUDY, CT)"
9837189,DA049417-01,"NCT04111939 (HSSTUDY, CT)"
9837724,DA049435-01,"NCT04418453 (HSSTUDY, CT)"
9837725,DA049436-01,"NCT03918850 (HSSTUDY), NCT04218201 (HSSTUDY)"
9838598,DA049444-01,"NCT03918850 (HSSTUDY), NCT03936985 (CT)"
9839338,DA049468-01,NCT03918850 (HSSTUDY)
9843839,DA049599-01,NCT04475198 (CT)
9848027,DA049631-01,"NCT04491175 (HSSTUDY, CT), NCT04494841 (HSSTUDY)"
9848085,DA049630-01,"NCT04236804 (HSSTUDY, CT)"
9848092,DA049629-01,NCT04656899 (CT)
9848313,DA049623-01,NCT04244227 (CT)
9848902,NS113661-01,"NCT04085406 (HSSTUDY, CT)"
9849933,DA044053-02S1,NCT03779997 (CT)
9851383,DA047925-02,NCT04828694 (CT)
9852022,DA049694-01,"NCT04218240 (HSSTUDY, CT)"
9852791,DA045085-01S1,NCT04400227 (CT)
9853004,DA044279-02,NCT04752189 (HSSTUDY)
9853679,DA040309-04S4,"NCT02915341 (HSSTUDY), NCT04155502 (HSSTUDY, CT), NCT04535583 (CT)"
9856648,DA044522-16S1,"NCT01088542 (HSSTUDY, CT)"
9856692,DA040316-04S5,"NCT03559179 (CT), NCT04198428 (CT), NCT04345718 (CT), NCT04867382 (CT), NCT04921787 (CT)"
9857255,DA045396-02S1,"NCT03655574 (HSSTUDY, CT)"
9858490,DA013732-19S3,"NCT03023930 (HSSTUDY), NCT03275350 (HSSTUDY), NCT03911466 (HSSTUDY, CT), NCT03911739 (HSSTUDY, CT), NCT03918850 (HSSTUDY, CT), NCT03936985 (HSSTUDY)"
9860339,DA042059-04S2,"NCT03241771 (CT), NCT03337009 (HSSTUDY, CT), NCT03337100 (HSSTUDY, CT)"
9860960,DA041434-03S1,"NCT03015805 (HSSTUDY, CT)"
9867305,AT010604-01,"NCT04080180 (CT), NCT04464421 (HSSTUDY), NCT04693416 (HSSTUDY), NCT05075330 (HSSTUDY)"
9867903,AT010799-01,NCT04248933 (CT)
9868568,DA051241-01,"NCT04648228 (HSSTUDY, CT)"
9869089,AR076387-01,NCT04683042 (HSSTUDY)
9869182,AT010621-01,"NCT04129450 (HSSTUDY, CT)"
9869416,AT010802-01,"NCT04233671 (HSSTUDY, CT)"
9869480,AG067493-01,NCT04523714 (HSSTUDY)
9869503,AT010806-01,NCT04736550 (CT)
9869524,AT010614-01,"NCT04173416 (HSSTUDY, CT)"
9870024,NR019196-01,NCT04395001 (HSSTUDY)
9870205,AR077360-01,"NCT04504812 (HSSTUDY, CT)"
9870905,DA045695-02,"NCT03698669 (HSSTUDY, CT)"
9875961,DA013732-19S4,"NCT03023930 (HSSTUDY), NCT03275350 (HSSTUDY), NCT03911466 (HSSTUDY, CT), NCT03911739 (HSSTUDY, CT), NCT03918850 (HSSTUDY, CT), NCT03936985 (HSSTUDY)"
9876435,AG067593-01,"NCT04336592 (CT), NCT04570371 (HSSTUDY, CT)"
9879277,DA013035-17S7,"NCT02032433 (CT), NCT04289363 (CT), NCT04464980 (CT), NCT04762537 (CT)"
9881202,AR076573-01,"NCT04409353 (HSSTUDY, CT)"
9881407,HL150551-01,NCT04262193 (HSSTUDY)
9881969,AR076568-01,"NCT04747314 (HSSTUDY, CT)"
9881988,HL150835-01,"NCT04287062 (HSSTUDY, CT)"
9882011,HL150568-01,"NCT04299490 (HSSTUDY, CT)"
9882365,AT009932-02,"NCT04082637 (HSSTUDY, CT)"
9882422,DA050077-01,"NCT04408313 (HSSTUDY, CT)"
9882684,DA050074-01,NCT04276792 (CT)
9882727,DA050072-01,"NCT04309565 (HSSTUDY, CT)"
9882751,DA050071-01,"NCT04216719 (HSSTUDY), NCT04873401 (CT)"
9882789,DA050069-01,"NCT04069624 (HSSTUDY, CT)"
9888546,DA040317-05S2,"NCT01966432 (CT), NCT03248947 (CT)"
9888864,DA050174-01,NCT04135703 (HSSTUDY)
9889568,DA050173-01,"NCT04550715 (HSSTUDY, CT)"
9890338,DA050251-01,NCT04109599 (CT)
9892107,AT010797-01,"NCT04433975 (HSSTUDY, CT)"
9892321,DA050234-01,"NCT04839978 (HSSTUDY, CT)"
9892437,DA050235-01,NCT04617938 (HSSTUDY)
9892763,DA050189-01,"NCT04901312 (HSSTUDY, CT)"
9893166,AT010742-01,"NCT04082637 (HSSTUDY, CT)"
9893173,DA050250-01,NCT04678960 (HSSTUDY)
9897862,DA040314-05S3,"NCT03407638 (HSSTUDY, CT), NCT04535583 (CT)"
9898037,DA040314-05S4,"NCT03407638 (HSSTUDY, CT), NCT04535583 (CT)"
9898661,NS115111-01,NCT05045625 (HSSTUDY)
9899225,DA048734-02,"NCT03789214 (HSSTUDY, CT)"
9899239,DA047094-02,"NCT03980184 (HSSTUDY, CT)"
9899660,NS115118-01,NCT03894553 (HSSTUDY)
9900356,DK123786-01,NCT04571619 (HSSTUDY)
9900385,DK123787-01,NCT04571619 (HSSTUDY)
9900443,DA050283-01,N/A (HSSTUDY)
9901129,DA040316-05S3,"NCT03559179 (CT), NCT04198428 (CT), NCT04345718 (CT), NCT04867382 (CT), NCT04921787 (CT)"
9901274,DA013727-20S3,"NCT01675661 (CT), NCT03078075 (HSSTUDY), NCT03918850 (HSSTUDY), NCT04907357 (CT)"
9901399,DA040309-05S5,"NCT02915341 (HSSTUDY), NCT04155502 (HSSTUDY, CT), NCT04535583 (CT)"
9901704,DK123812-01,NCT04571619 (HSSTUDY)
9901764,DK123813-01,"NCT04571619 (HSSTUDY, CT)"
9901871,DK123814-01,NCT04571619 (HSSTUDY)
9901874,HD101059-01,NCT04149509 (CT)
9901983,DA013035-17S8,"NCT02032433 (CT), NCT04289363 (CT), NCT04464980 (CT), NCT04762537 (CT)"
9902068,DK123816-01,NCT04571619 (HSSTUDY)
9902084,DK123817-01,NCT04571619 (HSSTUDY)
9902131,DK123818-01,NCT04571619 (HSSTUDY)
9902582,DK123821-01,NCT04571619 (HSSTUDY)
9902690,DA040316-05S4,"NCT03559179 (CT), NCT04198428 (CT), NCT04345718 (CT), NCT04867382 (CT), NCT04921787 (CT)"
9902691,DA040316-05S2,"NCT03559179 (CT), NCT04198428 (CT), NCT04345718 (CT), NCT04867382 (CT), NCT04921787 (CT)"
9902694,DA040316-05S5,"NCT03559179 (CT), NCT04198428 (CT), NCT04345718 (CT), NCT04867382 (CT), NCT04921787 (CT)"
9902764,MH121942-01,"NCT04600414 (HSSTUDY, CT)"
9903903,MH121944-01,"NCT04245423 (HSSTUDY, CT)"
9905069,MH121954-01,"NCT04559893 (HSSTUDY, CT), NCT04634279 (CT)"
9905170,DA050325-01,"NCT04199728 (HSSTUDY, CT)"
9905868,DA013732-20S3,"NCT03023930 (HSSTUDY), NCT03275350 (HSSTUDY), NCT03911466 (HSSTUDY, CT), NCT03911739 (HSSTUDY, CT), NCT03918850 (HSSTUDY, CT), NCT03936985 (HSSTUDY)"
9906533,DA040314-05S5,"NCT03407638 (HSSTUDY, CT), NCT04535583 (CT)"
9906729,DA040314-05S6,"NCT03407638 (HSSTUDY, CT), NCT04535583 (CT)"
9910942,DA050358-01,NCT04340622 (CT)
9912034,DA050398-01,"NCT05006846 (HSSTUDY), NCT05017272 (HSSTUDY)"
9912651,DA050380-01,NCT04551092 (CT)
9913686,DA015831-18S7,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9914450,DA015831-18S4,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9914612,DA013035-17S9,"NCT02032433 (CT), NCT04289363 (CT), NCT04464980 (CT), NCT04762537 (CT)"
9914688,DA013035-17SA,"NCT02032433 (CT), NCT04289363 (CT), NCT04464980 (CT), NCT04762537 (CT)"
9916032,DA013035-17SB,"NCT02032433 (CT), NCT04289363 (CT), NCT04464980 (CT), NCT04762537 (CT)"
9916048,DA015831-17S4,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9916056,DA015831-17S5,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9916202,DA015831-17S6,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9916346,DA015831-17S8,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9916746,DA046635-02,NCT03959111 (HSSTUDY)
9916836,DA040314-04S5,"NCT03407638 (HSSTUDY, CT), NCT04535583 (CT)"
9917054,DA040314-04S6,"NCT03407638 (HSSTUDY, CT), NCT04535583 (CT)"
9917086,DA047720-01S1,"NCT03810495 (HSSTUDY, CT), NCT04716881 (CT)"
9917193,DA040314-04S7,"NCT03407638 (HSSTUDY, CT), NCT04535583 (CT)"
9917748,DA049406-02,"NCT04111939 (HSSTUDY, CT)"
9917749,DA049412-02,"NCT04111939 (HSSTUDY, CT)"
9917750,DA049415-02,"NCT04111939 (HSSTUDY, CT)"
9917751,DA049417-02,"NCT04111939 (HSSTUDY, CT)"
9918723,DA013727-20S4,"NCT01675661 (CT), NCT03078075 (HSSTUDY), NCT03918850 (HSSTUDY), NCT04907357 (CT)"
9920935,DA015831-18S6,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9921149,DA040309-05S4,"NCT02915341 (HSSTUDY), NCT04155502 (HSSTUDY, CT), NCT04535583 (CT)"
9921320,DA043288-03,NCT04027075 (HSSTUDY)
9921776,DA040309-05S3,"NCT02915341 (HSSTUDY), NCT04155502 (HSSTUDY, CT), NCT04535583 (CT)"
9923412,DA013035-18S4,"NCT02032433 (CT), NCT04289363 (CT), NCT04464980 (CT), NCT04762537 (CT)"
9923816,DA036221-05S4,NCT02672150 (CT)
9923866,DA013035-18S3,"NCT02032433 (CT), NCT04289363 (CT), NCT04464980 (CT), NCT04762537 (CT)"
9924845,DA013035-18S6,"NCT02032433 (CT), NCT04289363 (CT), NCT04464980 (CT), NCT04762537 (CT)"
9926627,DA015831-18S8,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9928319,DA013035-18S5,"NCT02032433 (CT), NCT04289363 (CT), NCT04464980 (CT), NCT04762537 (CT)"
9928595,DA015831-18S9,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9932780,NS115631-01,"NCT04144972 (HSSTUDY, CT)"
9937717,DA049435-02,"NCT04418453 (HSSTUDY, CT)"
9938533,DA049444-02,"NCT03918850 (HSSTUDY), NCT03936985 (CT)"
9938535,DA049468-02,NCT03918850 (HSSTUDY)
9949667,DA049436-02,"NCT03918850 (HSSTUDY), NCT04218201 (HSSTUDY)"
9963442,AT010117-02,NCT04584502 (CT)
9968898,DA040317-05S3,"NCT01966432 (CT), NCT03248947 (CT)"
9970641,DA015831-18S5,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9978015,DA050069-02,"NCT04069624 (HSSTUDY, CT)"
9978016,DA050072-02,"NCT04309565 (HSSTUDY, CT)"
9978018,DA050071-02,"NCT04216719 (HSSTUDY), NCT04873401 (CT)"
9978019,DA050074-02,NCT04276792 (CT)
9978020,DA050077-02,"NCT04408313 (HSSTUDY, CT)"
9980028,DA044053-03S1,NCT03779997 (CT)
9980049,DA040213-05S1,"NCT03080259 (HSSTUDY, CT)"
9980635,TR001608-04S1,"NCT03938857 (HSSTUDY, CT), NCT04885530 (CT)"
